u,u_e,mu,p_e,delta,y
1.0,0.05,0.2,0.3,0.2,0.25
1.0,0.05,0.2,0.3,0.4,0.17163265306122452
1.0,0.05,0.2,0.3,0.5,0.23591836734693877
1.0,0.05,0.4,0.05,0.0,0.5055401662049862
1.0,0.05,0.4,0.05,0.2,0.2096675900277008
1.0,0.05,0.4,0.05,0.4,0.028393351800554016
1.0,0.05,0.4,0.05,0.5,0.07825484764542935
1.0,0.05,0.4,0.1,0.0,0.4944753086419753
1.0,0.05,0.4,0.1,0.2,0.5120987654320988
1.0,0.05,0.4,0.1,0.4,0.5005555555555556
1.0,0.05,0.4,0.1,0.5,0.5039506172839505
1.0,0.05,0.4,0.2,0.0,0.5008203125
1.0,0.05,0.4,0.2,0.2,0.50125
1.0,0.05,0.4,0.2,0.4,0.51125
1.0,0.05,0.4,0.3,0.0,0.0
1.0,0.05,0.4,0.3,0.2,0.21602040816326532
1.0,0.05,0.4,0.3,0.4,0.16760204081632651
1.0,0.05,0.4,0.3,0.5,0.2029591836734694
1.0,0.05,0.5,0.05,0.0,0.1364265927977839
1.0,0.05,0.5,0.05,0.2,0.5293074792243768
1.0,0.05,0.5,0.05,0.5,0.5434349030470914
1.0,0.05,0.5,0.1,0.0,0.5417283950617284
1.0,0.05,0.5,0.1,0.2,0.5088888888888888
1.0,0.05,0.5,0.1,0.4,0.5009876543209877
1.0,0.05,0.5,0.1,0.5,0.5002777777777778
1.0,0.05,0.5,0.2,0.0,0.509453125
1.0,0.05,0.5,0.2,0.2,0.4937890625
1.0,0.05,0.5,0.2,0.4,0.49703125
1.0,0.05,0.5,0.2,0.5,0.5153125000000001
1.0,0.05,0.5,0.3,0.0,0.5123469387755102
1.0,0.05,0.5,0.3,0.2,0.5216836734693877
1.0,0.05,0.5,0.3,0.4,0.19862244897959183
1.0,0.05,0.5,0.3,0.5,0.1849489795918367
1.0,0.1,0.1,0.05,0.0,0.0
1.0,0.1,0.1,0.05,0.2,0.00011080332409972299
1.0,0.1,0.1,0.1,0.0,0.5987654320987654
1.0,0.1,0.1,0.1,0.2,0.548395061728395
1.0,0.1,0.1,0.1,0.4,0.5061728395061729
1.0,0.1,0.1,0.1,0.5,0.5355555555555556
1.0,0.1,0.1,0.2,0.0,0.517578125
1.0,0.1,0.1,0.2,0.2,0.5003124999999999
1.0,0.1,0.1,0.2,0.4,0.5041015624999999
1.0,0.1,0.1,0.2,0.5,0.5028125
1.0,0.1,0.1,0.3,0.0,0.343061224489796
1.0,0.1,0.1,0.3,0.2,0.27938775510204084
1.0,0.1,0.1,0.3,0.4,0.17163265306122452
1.0,0.1,0.1,0.3,0.5,0.19612244897959183
1.0,0.1,0.2,0.05,0.0,0.00011080332409972299
1.0,0.1,0.2,0.1,0.0,0.5074691358024691
